titles,summaries,terms
labelCloud: A Lightweight Domain-Independent Labeling Tool for 3D Object Detection in Point Clouds,"Within the past decade, the rise of applications based on artificial
intelligence (AI) in general and machine learning (ML) in specific has led to
many significant contributions within different domains. The applications range
from robotics over medical diagnoses up to autonomous driving. However, nearly
all applications rely on trained data. In case this data consists of 3D images,
it is of utmost importance that the labeling is as accurate as possible to
ensure high-quality outcomes of the ML models. Labeling in the 3D space is
mostly manual work performed by expert workers, where they draw 3D bounding
boxes around target objects the ML model should later automatically identify,
e.g., pedestrians for autonomous driving or cancer cells within radiography.
  While a small range of recent 3D labeling tools exist, they all share three
major shortcomings: (i) they are specified for autonomous driving applications,
(ii) they lack convenience and comfort functions, and (iii) they have high
dependencies and little flexibility in data format. Therefore, we propose a
novel labeling tool for 3D object detection in point clouds to address these
shortcomings.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
Multi-Resolution Multi-Modal Sensor Fusion For Remote Sensing Data With Label Uncertainty,"In remote sensing, each sensor can provide complementary or reinforcing
information. It is valuable to fuse outputs from multiple sensors to boost
overall performance. Previous supervised fusion methods often require accurate
labels for each pixel in the training data. However, in many remote sensing
applications, pixel-level labels are difficult or infeasible to obtain. In
addition, outputs from multiple sensors often have different resolution or
modalities. For example, rasterized hyperspectral imagery presents data in a
pixel grid while airborne Light Detection and Ranging (LiDAR) generates dense
three-dimensional (3D) point clouds. It is often difficult to directly fuse
such multi-modal, multi-resolution data. To address these challenges, we
present a novel Multiple Instance Multi-Resolution Fusion (MIMRF) framework
that can fuse multi-resolution and multi-modal sensor outputs while learning
from automatically-generated, imprecisely-labeled data. Experiments were
conducted on the MUUFL Gulfport hyperspectral and LiDAR data set and a
remotely-sensed soybean and weed data set. Results show improved, consistent
performance on scene understanding and agricultural applications when compared
to traditional fusion methods.",['Computer Vision and Pattern Recognition']
Cross-Network Learning with Partially Aligned Graph Convolutional Networks,"Graph neural networks have been widely used for learning representations of
nodes for many downstream tasks on graph data. Existing models were designed
for the nodes on a single graph, which would not be able to utilize information
across multiple graphs. The real world does have multiple graphs where the
nodes are often partially aligned. For examples, knowledge graphs share a
number of named entities though they may have different relation schema;
collaboration networks on publications and awarded projects share some
researcher nodes who are authors and investigators, respectively; people use
multiple web services, shopping, tweeting, rating movies, and some may register
the same email account across the platforms. In this paper, I propose partially
aligned graph convolutional networks to learn node representations across the
models. I investigate multiple methods (including model sharing,
regularization, and alignment reconstruction) as well as theoretical analysis
to positively transfer knowledge across the (small) set of partially aligned
nodes. Extensive experiments on real-world knowledge graphs and collaboration
networks show the superior performance of our proposed methods on relation
classification and link prediction.",['Machine Learning']
"RelTransformer: Balancing the Visual Relationship Detection from Local Context, Scene and Memory","Visual relationship recognition (VRR) is a fundamental scene understanding
task. The structure that VRR provides is essential to improve the AI
interpretability in downstream tasks such as image captioning and visual
question answering. Several recent studies showed that the long-tail problem in
VRR is even more critical than that in object recognition due to the
compositional complexity and structure. To overcome this limitation, we propose
a novel transformer-based framework, dubbed as RelTransformer, which performs
relationship prediction using rich semantic features from multiple image
levels. We assume that more abundantcon textual features can generate more
accurate and discriminative relationships, which can be useful when sufficient
training data are lacking. The key feature of our model is its ability to
aggregate three different-level features (local context, scene, and
dataset-level) to compositionally predict the visual relationship. We evaluate
our model on the visual genome and two ""long-tail"" VRR datasets, GQA-LT and
VG8k-LT. Extensive experiments demonstrate that our RelTransformer could
improve over the state-of-the-art baselines on all the datasets. In addition,
our model significantly improves the accuracy of GQA-LT by 27.4% upon the best
baselines on tail-relationship prediction. Our code is available in
https://github.com/Vision-CAIR/RelTransformer.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence']"
Explainable Deep Behavioral Sequence Clustering for Transaction Fraud Detection,"In e-commerce industry, user behavior sequence data has been widely used in
many business units such as search and merchandising to improve their products.
However, it is rarely used in financial services not only due to its 3V
characteristics - i.e. Volume, Velocity and Variety - but also due to its
unstructured nature. In this paper, we propose a Financial Service scenario
Deep learning based Behavior data representation method for Clustering
(FinDeepBehaviorCluster) to detect fraudulent transactions. To utilize the
behavior sequence data, we treat click stream data as event sequence, use time
attention based Bi-LSTM to learn the sequence embedding in an unsupervised
fashion, and combine them with intuitive features generated by risk experts to
form a hybrid feature representation. We also propose a GPU powered HDBSCAN
(pHDBSCAN) algorithm, which is an engineering optimization for the original
HDBSCAN algorithm based on FAISS project, so that clustering can be carried out
on hundreds of millions of transactions within a few minutes. The computation
efficiency of the algorithm has increased 500 times compared with the original
implementation, which makes flash fraud pattern detection feasible. Our
experimental results show that the proposed FinDeepBehaviorCluster framework is
able to catch missed fraudulent transactions with considerable business values.
In addition, rule extraction method is applied to extract patterns from risky
clusters using intuitive features, so that narrative descriptions can be
attached to the risky clusters for case investigation, and unknown risk
patterns can be mined for real-time fraud detection. In summary,
FinDeepBehaviorCluster as a complementary risk management strategy to the
existing real-time fraud detection engine, can further increase our fraud
detection and proactive risk defense capabilities.",['Machine Learning']
Hidden Two-Stream Convolutional Networks for Action Recognition,"Analyzing videos of human actions involves understanding the temporal
relationships among video frames. State-of-the-art action recognition
approaches rely on traditional optical flow estimation methods to pre-compute
motion information for CNNs. Such a two-stage approach is computationally
expensive, storage demanding, and not end-to-end trainable. In this paper, we
present a novel CNN architecture that implicitly captures motion information
between adjacent frames. We name our approach hidden two-stream CNNs because it
only takes raw video frames as input and directly predicts action classes
without explicitly computing optical flow. Our end-to-end approach is 10x
faster than its two-stage baseline. Experimental results on four challenging
action recognition datasets: UCF101, HMDB51, THUMOS14 and ActivityNet v1.2 show
that our approach significantly outperforms the previous best real-time
approaches.","['Computer Vision and Pattern Recognition', 'Machine Learning', 'Multimedia']"
Screen Content Image Segmentation Using Sparse-Smooth Decomposition,"Sparse decomposition has been extensively used for different applications
including signal compression and denoising and document analysis. In this
paper, sparse decomposition is used for image segmentation. The proposed
algorithm separates the background and foreground using a sparse-smooth
decomposition technique such that the smooth and sparse components correspond
to the background and foreground respectively. This algorithm is tested on
several test images from HEVC test sequences and is shown to have superior
performance over other methods, such as the hierarchical k-means clustering in
DjVu. This segmentation algorithm can also be used for text extraction, video
compression and medical image segmentation.",['Computer Vision and Pattern Recognition']
Visual Categorization of Objects into Animal and Plant Classes Using Global Shape Descriptors,"How humans can distinguish between general categories of objects? Are the
subcategories of living things visually distinctive? In a number of
semantic-category deficits, patients are good at making broad categorization
but are unable to remember fine and specific details. It has been well accepted
that general information about concepts are more robust to damages related to
semantic memory. Results from patients with semantic memory disorders
demonstrate the loss of ability in subcategory recognition. While bottom-up
feature construction has been studied in detail, little attention has been
served to top-down approach and the type of features that could account for
general categorization. In this paper, we show that broad categories of animal
and plant are visually distinguishable without processing textural information.
To this aim, we utilize shape descriptors with an additional phase of feature
learning. The results are evaluated with both supervised and unsupervised
learning mechanisms. The obtained results demonstrate that global encoding of
visual appearance of objects accounts for high discrimination between animal
and plant object categories.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence']"
"Cats, not CAT scans: a study of dataset similarity in transfer learning for 2D medical image classification","Transfer learning is a commonly used strategy for medical image
classification, especially via pretraining on source data and fine-tuning on
target data. There is currently no consensus on how to choose appropriate
source data, and in the literature we can find both evidence of favoring large
natural image datasets such as ImageNet, and evidence of favoring more
specialized medical datasets. In this paper we perform a systematic study with
nine source datasets with natural or medical images, and three target medical
datasets, all with 2D images. We find that ImageNet is the source leading to
the highest performances, but also that larger datasets are not necessarily
better. We also study different definitions of data similarity. We show that
common intuitions about similarity may be inaccurate, and therefore not
sufficient to predict an appropriate source a priori. Finally, we discuss
several steps needed for further research in this field, especially with regard
to other types (for example 3D) medical images. Our experiments and pretrained
models are available via \url{https://www.github.com/vcheplygina/cats-scans}",['Computer Vision and Pattern Recognition']
Answer-Driven Visual State Estimator for Goal-Oriented Visual Dialogue,"A goal-oriented visual dialogue involves multi-turn interactions between two
agents, Questioner and Oracle. During which, the answer given by Oracle is of
great significance, as it provides golden response to what Questioner concerns.
Based on the answer, Questioner updates its belief on target visual content and
further raises another question. Notably, different answers drive into
different visual beliefs and future questions. However, existing methods always
indiscriminately encode answers after much longer questions, resulting in a
weak utilization of answers. In this paper, we propose an Answer-Driven Visual
State Estimator (ADVSE) to impose the effects of different answers on visual
states. First, we propose an Answer-Driven Focusing Attention (ADFA) to capture
the answer-driven effect on visual attention by sharpening question-related
attention and adjusting it by answer-based logical operation at each turn. Then
based on the focusing attention, we get the visual state estimation by
Conditional Visual Information Fusion (CVIF), where overall information and
difference information are fused conditioning on the question-answer state. We
evaluate the proposed ADVSE to both question generator and guesser tasks on the
large-scale GuessWhat?! dataset and achieve the state-of-the-art performances
on both tasks. The qualitative results indicate that the ADVSE boosts the agent
to generate highly efficient questions and obtains reliable visual attentions
during the reasonable question generation and guess processes.",['Computer Vision and Pattern Recognition']
Night vision obstacle detection and avoidance based on Bio-Inspired Vision Sensors,"Moving towards autonomy, unmanned vehicles rely heavily on state-of-the-art
collision avoidance systems (CAS). However, the detection of obstacles
especially during night-time is still a challenging task since the lighting
conditions are not sufficient for traditional cameras to function properly.
Therefore, we exploit the powerful attributes of event-based cameras to perform
obstacle detection in low lighting conditions. Event cameras trigger events
asynchronously at high output temporal rate with high dynamic range of up to
120 $dB$. The algorithm filters background activity noise and extracts objects
using robust Hough transform technique. The depth of each detected object is
computed by triangulating 2D features extracted utilising LC-Harris. Finally,
asynchronous adaptive collision avoidance (AACA) algorithm is applied for
effective avoidance. Qualitative evaluation is compared using event-camera and
traditional camera.","['Computer Vision and Pattern Recognition', 'Robotics']"
Visually Guided Sound Source Separation and Localization using Self-Supervised Motion Representations,"The objective of this paper is to perform audio-visual sound source
separation, i.e.~to separate component audios from a mixture based on the
videos of sound sources. Moreover, we aim to pinpoint the source location in
the input video sequence. Recent works have shown impressive audio-visual
separation results when using prior knowledge of the source type (e.g. human
playing instrument) and pre-trained motion detectors (e.g. keypoints or optical
flows). However, at the same time, the models are limited to a certain
application domain. In this paper, we address these limitations and make the
following contributions: i) we propose a two-stage architecture, called
Appearance and Motion network (AMnet), where the stages specialise to
appearance and motion cues, respectively. The entire system is trained in a
self-supervised manner; ii) we introduce an Audio-Motion Embedding (AME)
framework to explicitly represent the motions that related to sound; iii) we
propose an audio-motion transformer architecture for audio and motion feature
fusion; iv) we demonstrate state-of-the-art performance on two challenging
datasets (MUSIC-21 and AVE) despite the fact that we do not use any pre-trained
keypoint detectors or optical flow estimators. Project page:
https://ly-zhu.github.io/self-supervised-motion-representations",['Computer Vision and Pattern Recognition']
SASO: Joint 3D Semantic-Instance Segmentation via Multi-scale Semantic Association and Salient Point Clustering Optimization,"We propose a novel 3D point cloud segmentation framework named SASO, which
jointly performs semantic and instance segmentation tasks. For semantic
segmentation task, inspired by the inherent correlation among objects in
spatial context, we propose a Multi-scale Semantic Association (MSA) module to
explore the constructive effects of the semantic context information. For
instance segmentation task, different from previous works that utilize
clustering only in inference procedure, we propose a Salient Point Clustering
Optimization (SPCO) module to introduce a clustering procedure into the
training process and impel the network focusing on points that are difficult to
be distinguished. In addition, because of the inherent structures of indoor
scenes, the imbalance problem of the category distribution is rarely considered
but severely limits the performance of 3D scene perception. To address this
issue, we introduce an adaptive Water Filling Sampling (WFS) algorithm to
balance the category distribution of training data. Extensive experiments
demonstrate that our method outperforms the state-of-the-art methods on
benchmark datasets in both semantic segmentation and instance segmentation
tasks.","['Computer Vision and Pattern Recognition', 'Robotics']"
Multi-Target Multi-Camera Tracking of Vehicles using Metadata-Aided Re-ID and Trajectory-Based Camera Link Model,"In this paper, we propose a novel framework for multi-target multi-camera
tracking (MTMCT) of vehicles based on metadata-aided re-identification
(MA-ReID) and the trajectory-based camera link model (TCLM). Given a video
sequence and the corresponding frame-by-frame vehicle detections, we first
address the isolated tracklets issue from single camera tracking (SCT) by the
proposed traffic-aware single-camera tracking (TSCT). Then, after automatically
constructing the TCLM, we solve MTMCT by the MA-ReID. The TCLM is generated
from camera topological configuration to obtain the spatial and temporal
information to improve the performance of MTMCT by reducing the candidate
search of ReID. We also use the temporal attention model to create more
discriminative embeddings of trajectories from each camera to achieve robust
distance measures for vehicle ReID. Moreover, we train a metadata classifier
for MTMCT to obtain the metadata feature, which is concatenated with the
temporal attention based embeddings. Finally, the TCLM and hierarchical
clustering are jointly applied for global ID assignment. The proposed method is
evaluated on the CityFlow dataset, achieving IDF1 76.77%, which outperforms the
state-of-the-art MTMCT methods.",['Computer Vision and Pattern Recognition']
Elastic registration based on compliance analysis and biomechanical graph matching,"An automatic elastic registration method suited for vascularized organs is
proposed. The vasculature in both the preoperative and intra-operative images
is represented as a graph. A typical application of this method is the fusion
of pre-operative information onto the organ during surgery, to compensate for
the limited details provided by the intra-operative imaging modality (e.g.
CBCT) and to cope with changes in the shape of the organ. Due to image
modalities differences and organ deformation, each graph has a different
topology and shape. The Adaptive Compliance Graph Matching (ACGM) method
presented does not require any manual initialization, handles intra-operative
nonrigid deformations of up to 65 mm and computes a complete displacement field
over the organ from only the matched vasculature. ACGM is better than the
previous Biomechanical Graph Matching method 3 (BGM) because it uses an
efficient biomechanical vascularized liver model to compute the organ's
transformation and the vessels bifurcations compliance. This allows to
efficiently find the best graph matches with a novel compliance-based adaptive
search. These contributions are evaluated on ten realistic synthetic and two
real porcine automatically segmented datasets. ACGM obtains better target
registration error (TRE) than BGM, with an average TRE in the real datasets of
4.2 mm compared to 6.5 mm, respectively. It also is up to one order of
magnitude faster, less dependent on the parameters used and more robust to
noise.",['Computer Vision and Pattern Recognition']
Modality to Modality Translation: An Adversarial Representation Learning and Graph Fusion Network for Multimodal Fusion,"Learning joint embedding space for various modalities is of vital importance
for multimodal fusion. Mainstream modality fusion approaches fail to achieve
this goal, leaving a modality gap which heavily affects cross-modal fusion. In
this paper, we propose a novel adversarial encoder-decoder-classifier framework
to learn a modality-invariant embedding space. Since the distributions of
various modalities vary in nature, to reduce the modality gap, we translate the
distributions of source modalities into that of target modality via their
respective encoders using adversarial training. Furthermore, we exert
additional constraints on embedding space by introducing reconstruction loss
and classification loss. Then we fuse the encoded representations using
hierarchical graph neural network which explicitly explores unimodal, bimodal
and trimodal interactions in multi-stage. Our method achieves state-of-the-art
performance on multiple datasets. Visualization of the learned embeddings
suggests that the joint embedding space learned by our method is
discriminative. code is available at:
\url{https://github.com/TmacMai/ARGF_multimodal_fusion}","['Computer Vision and Pattern Recognition', 'Machine Learning', 'Multimedia']"
Superpixel Segmentation using Dynamic and Iterative Spanning Forest,"As constituent parts of image objects, superpixels can improve several
higher-level operations. However, image segmentation methods might have their
accuracy seriously compromised for reduced numbers of superpixels. We have
investigated a solution based on the Iterative Spanning Forest (ISF) framework.
In this work, we present Dynamic ISF (DISF) -- a method based on the following
steps. (a) It starts from an image graph and a seed set with considerably more
pixels than the desired number of superpixels. (b) The seeds compete among
themselves, and each seed conquers its most closely connected pixels, resulting
in an image partition (spanning forest) with connected superpixels. In step
(c), DISF assigns relevance values to seeds based on superpixel analysis and
removes the most irrelevant ones. Steps (b) and (c) are repeated until the
desired number of superpixels is reached. DISF has the chance to reconstruct
relevant edges after each iteration, when compared to region merging
algorithms. As compared to other seed-based superpixel methods, DISF is more
likely to find relevant seeds. It also introduces dynamic arc-weight estimation
in the ISF framework for more effective superpixel delineation, and we
demonstrate all results on three datasets with distinct object properties.",['Computer Vision and Pattern Recognition']
Unsupervised 3D Learning for Shape Analysis via Multiresolution Instance Discrimination,"Although unsupervised feature learning has demonstrated its advantages to
reducing the workload of data labeling and network design in many fields,
existing unsupervised 3D learning methods still cannot offer a generic network
for various shape analysis tasks with competitive performance to supervised
methods. In this paper, we propose an unsupervised method for learning a
generic and efficient shape encoding network for different shape analysis
tasks. The key idea of our method is to jointly encode and learn shape and
point features from unlabeled 3D point clouds. For this purpose, we adapt
HR-Net to octree-based convolutional neural networks for jointly encoding shape
and point features with fused multiresolution subnetworks and design a
simple-yet-efficient Multiresolution Instance Discrimination (MID) loss for
jointly learning the shape and point features. Our network takes a 3D point
cloud as input and output both shape and point features. After training, the
network is concatenated with simple task-specific back-end layers and
fine-tuned for different shape analysis tasks. We evaluate the efficacy and
generality of our method and validate our network and loss design with a set of
shape analysis tasks, including shape classification, semantic shape
segmentation, as well as shape registration tasks. With simple back-ends, our
network demonstrates the best performance among all unsupervised methods and
achieves competitive performance to supervised methods, especially in tasks
with a small labeled dataset. For fine-grained shape segmentation, our method
even surpasses existing supervised methods by a large margin.","['Computer Vision and Pattern Recognition', 'Graphics']"
TempNodeEmb:Temporal Node Embedding considering temporal edge influence matrix,"Understanding the evolutionary patterns of real-world evolving complex
systems such as human interactions, transport networks, biological
interactions, and computer networks has important implications in our daily
lives. Predicting future links among the nodes in such networks reveals an
important aspect of the evolution of temporal networks. To analyse networks,
they are mapped to adjacency matrices, however, a single adjacency matrix
cannot represent complex relationships (e.g. temporal pattern), and therefore,
some approaches consider a simplified representation of temporal networks but
in high-dimensional and generally sparse matrices. As a result, adjacency
matrices cannot be directly used by machine learning models for making network
or node level predictions. To overcome this problem, automated frameworks are
proposed for learning low-dimensional vectors for nodes or edges, as
state-of-the-art techniques in predicting temporal patterns in networks such as
link prediction. However, these models fail to consider temporal dimensions of
the networks. This gap motivated us to propose in this research a new node
embedding technique which exploits the evolving nature of the networks
considering a simple three-layer graph neural network at each time step, and
extracting node orientation by Given's angle method. To prove our proposed
algorithm's efficiency, we evaluated the efficiency of our proposed algorithm
against six state-of-the-art benchmark network embedding models, on four real
temporal networks data, and the results show our model outperforms other
methods in predicting future links in temporal networks.","['Machine Learning', 'Social and Information Networks']"
Fast and Accurate: Structure Coherence Component for Face Alignment,"In this paper, we propose a fast and accurate coordinate regression method
for face alignment. Unlike most existing facial landmark regression methods
which usually employ fully connected layers to convert feature maps into
landmark coordinate, we present a structure coherence component to explicitly
take the relation among facial landmarks into account. Due to the geometric
structure of human face, structure coherence between different facial parts
provides important cues for effectively localizing facial landmarks. However,
the dense connection in the fully connected layers overuses such coherence,
making the important cues unable to be distinguished from all connections.
Instead, our structure coherence component leverages a dynamic sparse graph
structure to passing features among the most related landmarks. Furthermore, we
propose a novel objective function, named Soft Wing loss, to improve the
accuracy. Extensive experiments on three popular benchmarks, including WFLW,
COFW and 300W, demonstrate the effectiveness of the proposed method, achieving
state-of-the-art performance with fast speed. Our approach is especially robust
to challenging cases resulting in impressively low failure rate (0% and 2.88%)
in COFW and WFLW datasets.",['Computer Vision and Pattern Recognition']
Coding for Distributed Multi-Agent Reinforcement Learning,"This paper aims to mitigate straggler effects in synchronous distributed
learning for multi-agent reinforcement learning (MARL) problems. Stragglers
arise frequently in a distributed learning system, due to the existence of
various system disturbances such as slow-downs or failures of compute nodes and
communication bottlenecks. To resolve this issue, we propose a coded
distributed learning framework, which speeds up the training of MARL algorithms
in the presence of stragglers, while maintaining the same accuracy as the
centralized approach. As an illustration, a coded distributed version of the
multi-agent deep deterministic policy gradient(MADDPG) algorithm is developed
and evaluated. Different coding schemes, including maximum distance separable
(MDS)code, random sparse code, replication-based code, and regular low density
parity check (LDPC) code are also investigated. Simulations in several
multi-robot problems demonstrate the promising performance of the proposed
framework.",['Machine Learning']
